,gene_name,p-value,logFC,-logQ
239,Pafah1b1,0.00017030466745799578,1.205222,3.7687734493746
240,Adarb1,0.0001728489139428316,2.97898,3.762333344904433
241,Slc39a14,0.0001794448482812834,2.8300893,3.7460690054005497
242,Map1lc3b,0.00018402611836905295,1.7876438,3.735120534280836
243,Errfi1,0.00018773748438167035,2.7960472,3.7264490058292705
244,Ndufa11,0.00019402384798817936,1.754932,3.7121448864968953
245,Tnfrsf19,0.00019707015381972446,2.8439865,3.705379144431347
246,Smdt1,0.00020259706049518498,1.3764874,3.6933668601602494
247,Wasf2,0.0002084489734984722,1.7396169,3.6810002392042556
248,Cnpy2,0.0002164987288423756,1.9287353,3.6645446492337683
249,Plpp3,0.00023448308690044166,2.7458792,3.629888477173666
250,Cox5b,0.00023751188327162667,1.2832544,3.6243146567330604
251,Rpl27a,0.00024264158863173391,1.2829134,3.6150347592596366
252,H3f3b,0.00024305642355212915,1.1072071,3.614292896801412
253,Jak1,0.00025127989880868826,1.3752869,3.5998422515014536
254,Adamts5,0.0002582215132308129,2.2278092,3.5880075781493086
255,Tpm4,0.00026669816787223147,1.7975731,3.573979967758617
256,Atxn7l3b,0.0002708038374543756,1.2499135,3.567345185727471
257,Fbln5,0.000272878817763212,2.9300983,3.5640301751604127
258,Tmed10,0.00027403801414805615,1.3606384,3.5621891883124337
259,Lrrc58,0.00029746033128899834,1.4917735,3.526570942711836
260,Dapk1,0.0003009917683620882,3.2372365,3.521445381495214
261,S100a11,0.00030791354402590467,1.1996346,3.5115712076010404
262,Tmed9,0.00030999288981658276,1.2811967,3.5086482672910058
263,Spcs1,0.00033514981837010706,1.5525666,3.4747610116301884
264,Hpgd,0.00033627354963178263,2.6226578,3.473307291771678
265,Ppic,0.00033938201483048916,1.4573398,3.469311176357868
266,Serf2,0.00034770640404118775,1.2502053,3.4587873104264997
267,2410015M20Rik,0.00035238054091364115,2.359452,3.4529880821191363
268,Angpt4,0.0003559246387457,3.0040975,3.4486419470876912
269,Rpl36al,0.00035681585722384786,1.6029962,3.4475558534220707
270,Gng11,0.00036311306347327793,2.6050658,3.4399581264869865
271,Rps13,0.0003719801747074314,1.1091279,3.429480205936928
272,Pdgfa,0.0003842243305871101,2.5556436,3.4154151373786568
273,Ptprz1,0.0003880668929510005,2.3432145,3.4110934065307847
274,Macf1,0.00040113636374564603,1.1967634,3.3967079666440303
275,Atp5g1,0.00040647838182374964,1.4635782,3.3909625470054934
276,Rpl17,0.0004257033091654387,1.0717678,3.370892973861614
277,RP23-214L4.1,0.00044871300843721436,1.633599,3.34803133984823
278,Skil,0.00046443841191422074,1.9943897,3.333071868622286
279,Mef2a,0.0004648190186301371,1.3831224,3.3327161105722394
280,Hectd1,0.00047326635019968855,1.2617118,3.3248943732884264
281,Atp6v1f,0.00047520606669488474,1.3987578,3.3231180235923223
282,Spred1,0.0004775435150343749,1.9136012,3.320987048209556
283,Man1a2,0.0004917949287573344,1.7977655,3.308215953889415
284,Sox4,0.0004970380231593816,1.4223473,3.3036103866858624
285,Eva1b,0.000561425634809811,3.7167704,3.250707761273591
286,Bloc1s1,0.0005682747545728733,1.6725675,3.24544163692241
287,Birc6,0.0005724214925994634,1.5326631,3.2422840682349143
288,Cd81,0.0005742735166076384,1.5615718,3.240881211328735
289,H2-Q7,0.0005807996302167613,2.6444793,3.2359736688142835
290,Fgfr2,0.0006199333041513422,2.729041,3.2076550317874295
291,Dpm3,0.0006657529348040878,1.4360578,3.1766869104069912
292,Imp3,0.0006700221847241437,2.246607,3.173910817383096
293,Fam104a,0.0006995120658972434,2.327796,3.155204789953572
294,Sept7,0.0007401227873222799,1.3015629,3.130696224278679
295,Glg1,0.0007651659121808945,1.34818,3.1162443858500373
296,Rps19,0.0007730753857734197,1.0131441,3.1117781541682596
297,Eid1,0.0007736869399721006,1.2002776,3.1114347340793542
298,Mydgf,0.000797261539008075,1.7519965,3.0983991863637512
299,Plxdc2,0.0008371611048220231,2.9711962,3.077190957535416
300,Srp14,0.0008604951392313593,1.3951285,3.0652515785740277
301,Ltbp1,0.0008969799175385879,2.9619946,3.047217280255583
302,Fibin,0.0008983843758378878,3.7732842,3.0465378096700113
303,Mmp14,0.0009168287731240215,1.1639519,3.0377117655633077
304,Prrx1,0.0009196973211383967,2.0293815,3.036355078510814
305,AC104921.1,0.0009283529405745148,2.0009341,3.0322868826138003
306,Usp34,0.0009518049575714701,1.325093,3.021452037465055
307,Rpl23,0.0009599925138584609,0.80950665,3.017732153629846
308,Hp1bp3,0.0009689987593673587,1.1720523,3.0136767789866497
309,Utrn,0.0009988122826315466,1.5331577,3.0005161256655986
