,gene_name,p-value,logFC,-logQ
284,Meox1,0.06807888692015145,4.7641,1.1669875535167105
285,Mpc2,0.06834933073905645,0.86293983,1.1652657335871281
286,Ndufa13,0.06843967470884668,0.7218522,1.164692063311075
287,Pttg1ip,0.06889286813450117,0.8055697,1.1618257344079879
288,Rplp1,0.06898380205636122,0.47890806,1.1612528730797722
289,Bmp1,0.06916596573287959,1.7629879,1.1601075548265154
290,Dcaf8,0.0694399519477255,1.1721661,1.1583905883621648
291,Tagln2,0.06980665267269162,0.6316099,1.156103186526378
292,Smim14,0.06989857581046012,1.447588,1.1555316729518792
293,Myl12a,0.0704522032181102,0.95167226,1.1521054208583004
294,Parp3,0.07073036294091634,1.599769,1.1503941134030213
295,AC104921.1,0.07110264297434835,1.092245,1.148114255700024
296,Nedd8,0.0714765278528316,0.8519436,1.1458365525707135
297,Anxa1,0.07222913128816916,0.7120354,1.1412876084405983
298,Dpysl3,0.07232366133383898,0.63288116,1.1407195961273664
299,Lman1,0.07241829265482815,0.7520719,1.1401517183940075
300,Vkorc1,0.0727027950184382,1.1038141,1.1384488926106855
301,P3h1,0.07327454428908355,2.0826423,1.1350468738564568
302,Atg3,0.0734659427749575,1.3086668,1.1339139438102008
303,C1d,0.07413905990095608,1.463294,1.1299529252179163
304,Anapc16,0.0742356296870241,1.2124652,1.1293876033123225
305,Fam20c,0.07472002173029574,4.4086213,1.1265630104751505
306,Ergic2,0.07599153293658774,1.4478118,1.1192347946109076
307,Phlda1,0.07698158427690471,1.6167834,1.1136131553921484
308,H2afj,0.07698158427690471,0.7343831,1.1136131553921484
309,Calm2,0.07718085066362189,0.65370506,1.1124904390779027
310,Nrp2,0.07738053715977238,0.66801447,1.1113682598213475
311,Tmem147,0.07738053715977238,1.5791973,1.1113682598213475
312,Klf13,0.07768085592504946,0.8089965,1.1096859978081104
313,Cstb,0.07788159532662713,1.0596019,1.108565160972565
314,Ubxn1,0.07808275694329533,0.9246828,1.1074448610160281
315,Tmem134,0.07879015623404648,1.5161866,1.1035280383515769
316,Ndufa8,0.07879015623404648,1.0995499,1.1035280383515769
317,Hacd2,0.07929862686342665,2.2795708,1.1007343328690273
318,Ostf1,0.07960498792504705,1.0228717,1.0990597191912705
319,Tnrc6c,0.08063314702561382,0.91516894,1.0934863898200564
320,Pdgfa,0.08084006746667108,1.3186799,1.0923733327075658
321,Spsb2,0.08167206471389679,2.6372056,1.0879264650737048
322,Serping1,0.08293307330859051,0.2977264,1.0812722403667334
323,Nt5c,0.08314476729155347,1.5349993,1.080165077868553
324,Ubc,0.08335689884821641,0.64984727,1.0790584509322643
325,Atp6v1f,0.08356946858117068,1.1950198,1.0779523595056628
326,Rbx1,0.08367591795206653,0.8132281,1.0773995145921702
327,Zfp280d,0.08378247709300637,1.653338,1.0768468035365035
328,Elob,0.08637302331785046,0.8584536,1.0636218785117895
329,Tceal8,0.08670134218699548,1.728226,1.061974179341622
330,Chmp2a,0.0874713388150159,0.8593624,1.0581342262181501
331,Mbd3,0.0874713388150159,1.6637036,1.0581342262181501
332,Kdelr2,0.0874713388150159,0.9345693,1.0581342262181501
333,Gnptab,0.08758178735352173,1.7877142,1.0575861960489974
334,Rnf13,0.08780302194834422,1.057088,1.0564905365665023
335,Trip12,0.0879138081551729,0.7839496,1.0559429072398916
336,Pnn,0.08846943129341883,0.6938037,1.0532067644875975
337,Arf4,0.08880416156822099,0.7996566,1.0515666817015163
338,Vcan,0.08880416156822099,1.9168359,1.0515666817015163
339,Clic1,0.08880416156822099,1.0678651,1.0515666817015163
340,Timp3,0.08925205527107632,6.9206996,1.049381774290167
341,Ost4,0.08992730560886518,0.9258634,1.0461084186707374
342,Atp5b,0.09049315019657611,0.7988984,1.0433842931087745
343,Ube2i,0.0908340295828673,0.98289096,1.0417514191950186
344,Sra1,0.0909478852681009,1.0921375,1.0412073947541203
345,Fam193a,0.09117594092403926,1.4715412,1.040119746127594
